object,label,edge_index,radius_mm,center_x_mm,center_y_mm,center_z_mm,axis_x,axis_y,axis_z,bbox_xmin_mm,bbox_ymin_mm,bbox_zmin_mm,bbox_xmax_mm,bbox_ymax_mm,bbox_zmax_mm,bbox_xlen_mm,bbox_ylen_mm,bbox_zlen_mm
全倾转无人机总体装配模型,全倾转无人机总体装配模型173,7712,1.4999999999999838,283.47909027833106,94.979812817739,834.8800650760421,-0.9884519687385896,0.15066109701812788,0.01624621008422273,283.25178852433913,93.49693461095603,834.2554800933542,283.6946127813899,96.32645443675868,836.3798671084718,0.442824257050745,2.829519825802649,2.124387015117577
全倾转无人机总体装配模型,全倾转无人机总体装配模型173,7713,1.250000000000004,292.81839874421377,153.33428297525828,861.9454143258538,-0.9884519687385895,0.15066109701812785,0.016246210084222727,292.6387966583314,152.21208162607522,860.695579298829,293.0078168725404,154.5700148142441,862.4659018114271,0.36902021420900155,2.357933188168886,1.7703225125981135
全倾转无人机总体装配模型,全倾转无人机总体装配模型173,7714,1.250000000000004,292.81839874421377,153.33428297525828,861.9454143258538,-0.9884519687385895,0.15066109701812785,0.016246210084222727,292.62898061588714,152.09855113627245,861.4249268402805,292.99800083009615,154.45648432444133,863.1952493528786,0.36902021420900155,2.357933188168886,1.7703225125981135
全倾转无人机总体装配模型,全倾转无人机总体装配模型173,7715,2.000000000000002,289.8530428379985,153.78626626630876,861.9941529561128,0.9884519687385896,-0.15066109701812766,-0.01624621008422348,289.5574127401549,151.9162164931168,859.9944169128731,290.15611184332107,155.76343720868607,862.6387587977197,0.5986991031661546,3.8472207155692786,2.64434188484654
全倾转无人机总体装配模型,全倾转无人机总体装配模型173,7717,2.000000000000002,288.6669004755122,153.9670595827305,862.013648408214,0.9884519687385896,-0.15066109701812766,-0.01624621008422348,288.3712703776686,152.09700980953855,860.0139123649743,288.9699694808348,155.94423052510783,862.6582542498209,0.5986991031661546,3.8472207155692786,2.64434188484654
全倾转无人机总体装配模型,全倾转无人机总体装配模型173,7719,2.000000000000002,289.8530428379985,153.78626626630876,861.9941529561128,0.9884519687385896,-0.15066109701812766,-0.01624621008422348,289.5499738326759,151.80909532393144,861.3495471145059,290.14867293584206,155.65631603950072,863.9938889993524,0.5986991031661546,3.8472207155692786,2.64434188484654
全倾转无人机总体装配模型,全倾转无人机总体装配模型173,7720,2.000000000000002,288.6669004755122,153.9670595827305,862.013648408214,0.9884519687385896,-0.15066109701812766,-0.01624621008422348,288.3638314701896,151.9898886403532,861.369042566607,288.96253057335576,155.83710935592248,864.0133844514536,0.5986991031661546,3.8472207155692786,2.64434188484654
全倾转无人机总体装配模型,全倾转无人机总体装配模型173,7736,12.0,-293.97434145154915,197.84182739407663,821.5741035090296,0.3967237909230401,-0.7698118170799009,0.4999999999997932,-292.75723526555015,204.77933163218353,831.1416326826313,-292.3402202768235,204.8981744305107,831.289539035976,0.4170149887266348,0.11884279832716516,0.14790635334463786
全倾转无人机总体装配模型,全倾转无人机总体装配模型173,7738,11.999999999999941,-280.88245635108854,172.4380374304408,838.0741035090224,-0.3967237909230403,0.7698118170799011,-0.4999999999997928,-282.0995625370844,165.50053319233487,827.6817986636078,-269.8671999466714,180.0972884607254,847.7895390359698,12.232362590413004,14.596755268390524,20.10774037236206
全倾转无人机总体装配模型,全倾转无人机总体装配模型173,7742,11.999999999999941,-293.97434145154915,197.84182739407663,821.5741035090296,0.39672379092304016,-0.769811817079901,0.4999999999997932,-295.191447637545,190.9043231559707,811.1817986636149,-284.25388964601404,198.29027407933114,814.5518736447519,10.93755799153098,7.38595092336044,3.3700749811370088
全倾转无人机总体装配模型,全倾转无人机总体装配模型173,7745,11.999999999999991,-293.97434145154915,197.84182739407663,821.5741035090296,0.3967237909230401,-0.769811817079901,0.4999999999997932,-304.98959785596634,190.182576363792,811.858667982082,-292.7572352655538,204.77933163218245,831.9664083544443,12.23236259041255,14.596755268390439,20.107740372362287
全倾转无人机总体装配模型,全倾转无人机总体装配模型173,7747,11.999999999999941,-280.88245635108854,172.4380374304408,838.0741035090224,-0.3967237909230403,0.7698118170799011,-0.4999999999997928,-291.89771275550567,164.7787864001562,828.358667982075,-279.66535016509266,179.37554166854673,848.466408354437,12.232362590413004,14.596755268390524,20.10774037236206
全倾转无人机总体装配模型,全倾转无人机总体装配模型173,7756,10.000000000001007,-294.7677890333953,199.38145102823628,820.5741035090299,-0.3967237909230401,0.769811817079901,-0.49999999999979317,-303.9471693704105,192.99874183633176,812.4779072365728,-293.7535338783986,205.16270455999182,829.2343575468764,10.193635492011879,12.163962723660063,16.756450310303535
全倾转无人机总体装配模型,全倾转无人机总体装配模型173,7757,10.000000000001007,-294.7677890333953,199.38145102823628,820.5741035090299,-0.3967237909230401,0.769811817079901,-0.49999999999979317,-295.7820441883919,193.60019749648075,811.9138494711834,-285.58840869638004,205.7641602201408,828.670299781487,10.193635492011879,12.163962723660063,16.756450310303535
全倾转无人机总体装配模型,全倾转无人机总体装配模型173,7769,7.999999999999969,-198.54545269219858,301.1767005134964,830.6811508429972,0.06945238692536314,0.35513563493633815,0.9322312195741643,-206.526134832268,296.628980262943,827.7891645203832,-197.46800173154242,308.6552187872653,832.8758915677457,9.058133100725598,12.02623852432231,5.086727047362501
全倾转无人机总体装配模型,全倾转无人机总体装配模型173,7771,0.5000000000000119,-272.47407718023476,214.90290254025783,825.7824053331399,-0.46889662007548405,-0.6382234658824999,-0.610579042613417,-272.2757152847731,214.5179966317179,825.7132305686539,-272.04575509397904,214.6543969218428,826.0324053331398,0.22996019079408825,0.13640029012489663,0.3191747644858651
全倾转无人机总体装配模型,全倾转无人机总体装配模型173,7775,4.600000000000017,-234.67553006338971,344.2780273563679,879.5208927010103,0.9884519687385896,-0.15066109701812763,-0.01624621008422348,-235.35547928842993,339.9769128780264,874.9214998015592,-233.97847135114776,348.82552052383573,881.0034861367061,1.3770079372821726,8.848607645809352,6.081986335146894
全倾转无人机总体装配模型,全倾转无人机总体装配模型173,7782,4.600000000000017,-234.67553006338971,344.2780273563679,879.5208927010103,0.9884519687385896,-0.15066109701812763,-0.01624621008422348,-235.37258877563167,339.73053418890004,878.0382992653145,-233.9955808383495,348.5791418347094,884.1202856004614,1.3770079372821726,8.848607645809352,6.081986335146894
全倾转无人机总体装配模型,全倾转无人机总体装配模型173,7786,0.49999999999999484,-251.42097327780667,242.24885429005397,853.1803445639939,-0.7867511832098532,-0.565771742085916,-0.24682972182248264,-251.72960840855083,242.070339542006,852.9303445639939,-251.4390174866172,242.66113524276008,853.664873997678,0.2905909219336422,0.5907957007540858,0.734529433684088
全倾转无人机总体装配模型,全倾转无人机总体装配模型173,7789,26.999999999999975,-294.6175238812455,199.4852545988402,820.6146944180315,0.39672379092305254,-0.769811817079892,0.499999999999797,-272.3108523859513,205.47135571635337,810.5332664021485,-269.833196971307,213.97989599145936,825.2318123178038,2.477655414644289,8.508540275105986,14.698545915655359
全倾转无人机总体装配模型,全倾转无人机总体装配模型173,7791,0.5000000000000119,-272.47407718023476,214.90290254025783,825.7824053331399,-0.46889662007548405,-0.6382234658824999,-0.610579042613417,-272.112809300756,214.6543969218428,825.4420241477584,-272.032450652589,214.96312021121304,825.7132305686539,0.08035864816702087,0.3087232893702492,0.27120642089550984
全倾转无人机总体装配模型,全倾转无人机总体装配模型173,7797,0.5000000000000056,-231.8377032514758,330.74920874935947,887.9380481719629,-0.14782148402655587,-0.9350217087406884,-0.3223091885811359,-232.19897113095453,330.5885217005027,888.2784293573444,-231.8531199537137,330.6889910784043,888.4113653982912,0.3458511772408315,0.10046937790156107,0.13293604094678813
全倾转无人机总体装配模型,全倾转无人机总体装配模型173,7799,0.5000000000000161,-283.07169680351507,234.61607133600785,816.5530513273374,0.049145057093983334,0.9732699504978239,0.22434430418709628,-283.5710926293294,234.55585366505272,816.0657963547668,-283.05637255685366,234.7309033910469,816.8934325127188,0.5147200724757681,0.175049725994171,0.8276361579520426
全倾转无人机总体装配模型,全倾转无人机总体装配模型173,7802,27.499999999999968,-294.8158857767069,199.87016050738023,820.3646944180315,-0.39672379092305254,0.769811817079892,-0.499999999999797,-272.09612777224066,206.8923007864005,811.333869326298,-269.5725898499177,214.63322118504797,825.0673145011332,2.523537922322987,7.740920398647461,13.733445174835197
全倾转无人机总体装配模型,全倾转无人机总体装配模型173,7803,0.5000000000000226,-269.35352709670735,207.01997606420088,811.1696725064484,0.20596335766085935,-0.9622560221265467,-0.17788322906406848,-269.842806948965,206.8923007864005,810.6776467050878,-269.3400548465775,207.1136202749165,811.333869326298,0.5027521023874897,0.22131948851600214,0.6562226212101905
全倾转无人机总体装配模型,全倾转无人机总体装配模型173,7804,0.49999999999998823,-283.07169680351484,234.61607133600782,816.5530513273374,-0.6370898637569273,0.7554720334110482,0.15290033430949665,-283.4513995220382,234.32545149449479,816.0589305203054,-283.0563725568536,234.72759155299326,816.4068803546207,0.39502696518457014,0.4021400584984747,0.3479498343153864
全倾转无人机总体装配模型,全倾转无人机总体装配模型173,7806,0.4999999999999938,-270.0977433887638,205.08644980781347,810.7832664021483,-0.8486362740433555,-0.5152126106598414,-0.11988511248224976,-270.29610528422535,205.17877672569338,810.2920457333076,-270.08440192188476,205.4713557163534,810.5332664021485,0.21170336234058595,0.2925789906600187,0.2412206688408105
全倾转无人机总体装配模型,全倾转无人机总体装配模型173,7809,7.999999999999969,-198.54545269219858,301.1767005134964,830.6811508429972,0.06945238692536314,0.35513563493633815,0.9322312195741643,-204.7503985963815,293.69818223972754,832.7419618208187,-194.05042573150436,296.628980262943,833.5760561969045,10.69997286487714,2.930798023215459,0.8340943760857726
全倾转无人机总体装配模型,全倾转无人机总体装配模型173,7810,7.999999999999969,-198.54545269219858,301.1767005134964,830.6811508429972,0.06945238692536314,0.35513563493633815,0.9322312195741643,-197.46800173154242,294.8879970909838,827.78624548909,-190.56477055212915,308.5574534925084,832.7419618208187,6.903231179413268,13.669456401524599,4.955716331728695
全倾转无人机总体装配模型,全倾转无人机总体装配模型173,7811,5.999999999999997,-198.54545269219793,301.1767005134963,830.6811508429972,-0.06945238692536315,-0.35513563493633804,-0.9322312195741643,-199.35354091269008,295.56781180816967,828.5099718275668,-192.55994108714583,306.7122652477553,832.8501405849578,6.7935998255442485,11.144453439585618,4.340168757390984
全倾转无人机总体装配模型,全倾转无人机总体装配模型173,7812,5.999999999999994,-198.54545269219793,301.1767005134963,830.6811508429972,-0.06945238692536314,-0.3551356349363381,-0.9322312195741643,-204.53096429725002,295.64113577923735,828.5121611010367,-197.7373644717058,306.78558921882296,832.8523298584277,6.79359982554422,11.144453439585618,4.340168757390984
全倾转无人机总体装配模型,全倾转无人机总体装配模型173,7816,3.000000000000001,-192.3647906212438,292.52973330754094,833.5147659375017,-0.7356434365552023,-0.6172467604836944,-0.27898955343459925,-194.3968975594435,291.43841154134986,832.7419618208187,-192.50751375026422,294.89004217081526,836.3956483477484,1.8893838091792645,3.4516306294653987,3.6536865269297323
全倾转无人机总体装配模型,全倾转无人机总体装配模型173,7818,2.9999999999999805,-189.0129824240856,296.7007266563558,835.3600246263321,-0.4452593029447749,-0.8199052295139466,-0.3598604837389287,-191.6991874382776,295.5645338308629,834.9571129877585,-189.1615651891141,298.2540733444305,838.159043006084,2.5376222491634906,2.6895395135675813,3.20193001832547
全倾转无人机总体装配模型,全倾转无人机总体装配模型173,7820,3.0000000000000067,-187.16417625286863,308.29504524782544,840.5183996987901,-0.15966655740382674,0.8994368711540048,0.4068413760367851,-190.0315991154633,306.98389314632146,841.0107843337962,-187.3291399148862,307.56330519953013,843.2365367864405,2.7024592005770955,0.5794120532086708,2.225752452644315
全倾转无人机总体装配模型,全倾转无人机总体装配模型173,7822,3.0000000000000084,-207.07725331044992,294.9235851689859,833.6989193395262,0.49443376901277764,-0.8173474634609084,-0.2957674289603886,-207.22057421971616,293.8276596117817,832.8758915677455,-204.46960739266538,296.62898026294323,836.5646992772911,2.7509668270507746,2.801320651161518,3.6888077095455856
全倾转无人机总体装配模型,全倾转无人机总体装配模型173,7825,10.000000000000012,-235.55291936693257,294.4437940951788,857.4125406369393,-0.9884519687385896,0.15066109701812763,0.016246210084223472,-237.06826439354555,284.55793938329225,854.1895114289051,-234.0747688777147,303.7940429611387,867.4112208531374,2.9934955158308583,19.23610357784645,13.221709424232245
全倾转无人机总体装配模型,全倾转无人机总体装配模型173,7826,10.000000000000012,-235.55291936693257,294.4437940951788,857.4125406369393,-0.9884519687385896,0.15066109701812763,0.016246210084223472,-237.03106985615045,285.09354522921893,847.4138604207412,-234.0375743403196,304.3296488070654,860.6355698449735,2.9934955158308583,19.23610357784645,13.221709424232245
全倾转无人机总体装配模型,全倾转无人机总体装配模型173,7827,8.024999999999988,-245.96725366510785,228.40767559740462,836.1771151037839,-0.9884519687385896,0.15066109701812766,0.01624621008422348,-247.18331804896474,220.47427719111568,833.5906341643365,-244.7810378975105,235.91125031233742,844.2010559772827,2.4022801514542493,15.43697312122174,10.610421812946242
