object,label,type,solids,faces,edges,xmin_mm,ymin_mm,zmin_mm,xmax_mm,ymax_mm,zmax_mm,xlen_mm,ylen_mm,zlen_mm
Part__Feature039,全倾转无人机总体装配模型039,Part::Feature,0,3,12,-384.3280358756569,115.00318363265389,724.4017276363505,-374.3280358756569,125.00318363265389,730.4017276363505,10.0,10.0,6.0
Part__Feature040,全倾转无人机总体装配模型040,Part::Feature,0,2,6,-385.3280358756569,114.00318363265387,723.4017276363505,-373.3280358756569,126.0031836326539,724.4017276363505,12.0,12.000000000000028,1.0
Part__Feature041,全倾转无人机总体装配模型041,Part::Feature,0,4,15,-419.97768633935283,120.0134152675413,394.401727642153,-409.97768633935283,130.0134152675413,400.401727642153,10.0,9.999999999999986,6.0
Part__Feature042,全倾转无人机总体装配模型042,Part::Feature,0,3,8,-420.97768633935283,119.01341526754129,400.401727642153,-408.97768633935283,131.01341526754132,401.401727642153,12.0,12.000000000000028,1.0
Part__Feature043,全倾转无人机总体装配模型043,Part::Feature,0,3,12,-384.3280358646528,115.00318363300441,394.40172764215293,-374.3280358646528,125.00318363300441,400.40172764215293,10.0,10.0,6.0
Part__Feature044,全倾转无人机总体装配模型044,Part::Feature,0,2,6,-385.3280358646528,114.0031836330044,400.40172764215293,-373.3280358646528,126.00318363300443,401.40172764215293,12.0,12.000000000000028,1.0
Part__Feature045,全倾转无人机总体装配模型045,Part::Feature,0,2,6,583.7366412906108,347.20941381248514,436.10172764215304,586.7366412906108,350.209413812485,441.2017276421531,3.0,2.9999999999998863,5.10000000000008
Part__Feature046,全倾转无人机总体装配模型046,Part::Feature,0,3,6,583.7366412906108,347.20941381248497,684.1017276421532,586.7366412906108,350.20941381248497,689.2017276421532,3.0,3.0,5.100000000000023
Part__Feature047,全倾转无人机总体装配模型047,Part::Feature,0,2,6,-580.978595976354,2.3970206007667167,420.09671147770956,-574.978595976354,8.397020600766659,424.09671147770956,6.0,5.999999999999942,4.0
Part__Feature048,全倾转无人机总体装配模型048,Part::Feature,0,2,6,-580.9785959763541,2.3970206007669663,700.0967114758051,-574.9785959763541,8.39702060076691,704.0967114758051,6.0,5.999999999999943,4.0
Part__Feature049,全倾转无人机总体装配模型049,Part::Feature,0,6,14,-461.3788883167431,211.0063449524176,808.888569781381,-452.30108589578424,220.0841473733764,878.8885697813811,9.077802420958847,9.07780242095879,70.00000000000011
Part__Feature050,全倾转无人机总体装配模型050,Part::Feature,0,6,14,-461.3788883112885,211.00634494314778,245.9148854957219,-452.3010858903287,220.08414736410865,315.9148854957222,9.077802420959813,9.077802420960865,70.00000000000031
Part__Feature051,全倾转无人机总体装配模型051,Part::Feature,0,34,123,-452.6841278135422,110.6257239988672,720.0967114777199,-265.8115923516793,202.08856677927787,861.1588380375825,186.87253546186292,91.46284278041067,141.0621265598627
Part__Feature052,全倾转无人机总体装配模型052,Part::Feature,0,23,110,-471.69300191900334,110.62572397244791,271.66966448904344,-265.81159235396683,204.50087894294126,404.401727642153,205.8814095650365,93.87515497049334,132.73206315310955
Part__Feature053,全倾转无人机总体装配模型053,Part::Feature,0,29,80,-504.9236774125719,-21.48996923860305,433.0938234017697,-450.1291014757279,22.28613045799911,691.0995922369516,54.79457593684401,43.77609969660216,258.00576883518187
Part__Feature054,全倾转无人机总体装配模型054,Part::Feature,0,29,80,198.44377641459076,-22.651851782028263,433.26544000608874,253.21780305923576,21.1241752135552,691.2654400060934,54.774026644645005,43.776026995583464,258.00000000000466
Part__Feature055,全倾转无人机总体装配模型055,Part::Feature,0,1,32,-395.9368597748543,5.229601214063955,501.59671147770854,158.49109846567092,25.092827854269547,501.5967114777191,554.4279582405252,19.863226640205593,1.057287590811029e-11
Part__Feature056,全倾转无人机总体装配模型056,Part::Feature,0,2,6,-385.24077467661493,258.22195100617824,468.99671147770977,-380.66026651720824,261.7833440058685,473.1967114777097,4.5805081594066905,3.56139299969027,4.199999999999932
Part__Feature057,全倾转无人机总体装配模型057,Part::Feature,0,2,6,-385.24077467661493,258.2219510061782,650.9967114777097,-380.66026651720824,261.7833440058685,655.1967114777098,4.5805081594066905,3.5613929996903266,4.2000000000000455
Part__Feature058,全倾转无人机总体装配模型058,Part::Feature,0,43,128,-394.33828932649186,185.58025214421465,434.0967114777096,140.2839150758304,265.1571332574451,690.0967114777097,534.6222044023223,79.57688111323043,256.0000000000001
Part__Feature059,全倾转无人机总体装配模型059,Part::Feature,0,3,12,-379.21110982265384,-6.930255446027055,628.651727642123,-370.7046356070309,-2.916479254306035,637.1517276421233,8.506474215622916,4.0137761917210195,8.500000000000341
Part__Feature060,全倾转无人机总体装配模型060,Part::Feature,0,6,77,93.99515431034064,139.43564758445254,377.0967114810292,123.70319637259082,163.41620198806635,747.0967114810292,29.708042062250186,23.98055440361381,369.99999999999994
Part__Feature061,全倾转无人机总体装配模型061,Part::Feature,0,13,53,-215.61141990424417,35.95651885647339,229.76294942049404,654.0632953770539,361.2564889856288,326.47436108614187,869.6747152812981,325.2999701291554,96.71141166564783
Part__Feature062,全倾转无人机总体装配模型062,Part::Feature,0,3,12,-212.78164981301322,49.92081764200251,229.76294942049404,654.0632953770539,361.2564889856288,325.3412374663158,866.8449451900672,311.33567134362625,95.57828804582178
Part__Feature063,全倾转无人机总体装配模型063,Part::Feature,0,17,63,-212.78164981301322,35.74934132598526,229.76294942049404,661.785705224852,361.2564889856288,325.3412374663158,874.5673550378652,325.5071476596435,95.57828804582178
Part__Feature064,全倾转无人机总体装配模型064,Part::Feature,0,13,54,-398.55567279788806,38.16679465401879,294.5784934074627,632.7451794946048,198.2829568878233,328.0195011173612,1031.300852292493,160.11616223380452,33.441007709898486
Part__Feature065,全倾转无人机总体装配模型065,Part::Feature,0,15,53,-398.55567279788806,38.16679465401879,295.7994196176493,631.1993212304191,181.95308535523156,328.0195011173612,1029.754994028307,143.78629070121278,32.22008149971191
Part__Feature066,全倾转无人机总体装配模型066,Part::Feature,0,3,6,-226.31993840413875,127.23342077853899,237.32119849547556,-209.57598648579187,144.98598119771728,255.9496289245105,16.74395191834688,17.752560419178295,18.62843042903495
Part__Feature067,全倾转无人机总体装配模型067,Part::Feature,0,2,11,-244.86163688144,139.3696265209372,233.46417172550164,-202.89039071985087,153.93765661720278,253.42432879906883,41.971246161589136,14.568030096265574,19.96015707356719
Part__Feature068,全倾转无人机总体装配模型068,Part::Feature,0,12,36,-449.5559534658293,520.0045700468625,13.242217264176459,144.9378872888165,665.3159778239852,167.93718795060082,594.4938407546458,145.31140777712278,154.69497068642437
Part__Feature069,全倾转无人机总体装配模型069,Part::Feature,0,8,18,-202.10337121109637,545.7012707599555,56.43549316294637,-111.53551827406862,602.6475858841903,147.2359457285025,90.56785293702775,56.94631512423484,90.80045256555611
Part__Feature070,全倾转无人机总体装配模型070,Part::Feature,0,3,10,-220.47119976310918,283.2173753160213,84.55745704449028,-139.26559229549787,544.16441037607,215.5439475693628,81.20560746761132,260.94703506004873,130.98649052487252
Part__Feature071,全倾转无人机总体装配模型071,Part::Feature,0,27,166,-266.3921792127555,80.11009530716912,75.57929158163074,-126.12819805353203,574.2605216141385,326.47223339207875,140.26398115922345,494.1504263069694,250.892941810448
Part__Feature072,全倾转无人机总体装配模型072,Part::Feature,0,1,8,-200.3490417103863,551.1756735449848,133.26682718012478,-199.43983469442225,557.1071863721219,139.26603530983897,0.9092070159640571,5.931512827137112,5.999208129714191
Part__Feature073,全倾转无人机总体装配模型073,Part::Feature,0,1,8,-268.5272792907241,121.60926808976349,297.7339400772611,-267.61807227476004,127.54078091690066,303.73314820697533,0.9092070159640571,5.931512827137169,5.999208129714248
Part__Feature074,全倾转无人机总体装配模型074,Part::Feature,0,65,330,-274.92899170859545,76.44888626186348,58.53545680098188,-115.27886765422191,576.5342478461608,324.8031484215923,159.65012405437352,500.08536158429735,266.26769162061044
Part__Feature075,全倾转无人机总体装配模型075,Part::Feature,0,1,8,-125.16376337060107,521.8245940522037,87.77300283464389,-124.25455635463705,527.7561068793408,93.77221096435808,0.9092070159640286,5.931512827137112,5.999208129714191
Part__Feature076,全倾转无人机总体装配模型076,Part::Feature,0,1,4,-195.01570420045806,94.3937297330868,256.6939435214544,-192.77742716171235,96.40707310226568,256.7522738548958,2.238277038745707,2.013343369178884,0.058330333441404036
Part__Feature077,全倾转无人机总体装配模型077,Part::Feature,0,8,18,448.1976671724989,442.19669644432935,83.8164774623032,538.7785501746594,497.00140358523385,174.85576718964353,90.58088300216048,54.8047071409045,91.03928972734033
