object,label,face_index,radius_mm,center_x_mm,center_y_mm,center_z_mm,axis_x,axis_y,axis_z,bbox_xmin_mm,bbox_ymin_mm,bbox_zmin_mm,bbox_xmax_mm,bbox_ymax_mm,bbox_zmax_mm,bbox_xlen_mm,bbox_ylen_mm,bbox_zlen_mm
全倾转无人机总体装配模型,全倾转无人机总体装配模型173,1030,1.5000000000000326,431.5722715541308,75.73625519131679,880.3056397963554,0.14781504892178848,0.9350248865959719,0.32230292080345635,431.52221970281255,75.20438205018824,878.8856849163351,433.4992392320539,79.0228034375099,882.6922943098684,1.9770195292413746,3.8184213873216635,3.8066093935333356
全倾转无人机总体装配模型,全倾转无人机总体装配模型173,1031,2.0000000000000018,452.2811651558292,72.08524712799485,896.9132996530328,0.03336790087878032,0.3209823909367673,-0.9464971674017099,452.19241604343404,72.18116762713977,871.4696496280201,455.13230809633046,80.1936635765019,891.0125247949737,2.9398920528964254,8.012495949362133,19.54287516695365
全倾转无人机总体装配模型,全倾转无人机总体装配模型173,1035,2.0000000000000018,411.2604084531778,78.3376826542472,897.5875173715281,0.03336790087878032,0.3209823909367673,-0.9464971674017099,409.46840316553215,78.45772370486316,872.1446857439964,411.8390173583583,87.04874349082678,891.751727353806,2.3706141928261673,8.591019785963624,19.607041609809585
全倾转无人机总体装配模型,全倾转无人机总体装配模型173,1052,4.0000000000000036,461.60252983903683,450.29212758015603,1018.9514706136133,0.14781504892178868,0.935024886595972,0.3223029208034561,398.52045018723413,74.99824337802009,890.0952871325676,461.4690601556634,450.89478411435493,1022.7380211471018,62.94860996842925,375.8965407363348,132.6427340145342
全倾转无人机总体装配模型,全倾转无人机总体装配模型173,1054,4.0000000000000036,518.932744025875,441.5537839531045,1018.0091904287283,0.14781504892178868,0.935024886595972,0.3223029208034561,459.6732528536443,66.12550093837297,889.0230372670089,522.886553820971,440.95115171115833,1021.7951832851028,63.21330096732669,374.82565077278537,132.77214601809385
全倾转无人机总体装配模型,全倾转无人机总体装配模型173,1060,4.000000000000005,456.9414722535801,68.95875977858039,886.2972692353934,0.14781504892178868,0.935024886595972,0.3223029208034561,456.80800065006497,67.54043140223754,886.2322843950565,518.9865943547975,435.82089582272505,1016.7483057807585,62.17859370473252,368.28046442048753,130.51602138570206
全倾转无人机总体装配模型,全倾转无人机总体装配模型173,1065,3.750000000000028,434.093412749901,365.4017611227073,932.668872949332,0.9884519687385893,-0.15066109701812933,-0.01624621008422314,434.13737846857305,360.94126012065914,928.8381368178367,439.1608022218894,366.5121297275798,936.2081748690872,5.023423753316365,5.570869606920667,7.3700380512505035
全倾转无人机总体装配模型,全倾转无人机总体装配模型173,1066,3.750000000000028,420.60528953578773,280.08074022082485,903.2587314260163,0.9884519687385893,-0.15066109701812933,-0.01624621008422314,420.64925525445983,275.6202392187767,899.427995294521,425.6726790077762,281.19110882569737,906.7980333457715,5.023423753316365,5.570869606920667,7.3700380512505035
全倾转无人机总体装配模型,全倾转无人机总体装配模型173,1067,3.750000000000019,407.1171663216746,194.75971931894247,873.8485899027008,0.9884519687385893,-0.15066109701812933,-0.01624621008422314,407.1611320403466,190.29921831689435,870.0178537712054,412.18455579366304,195.87008792381508,877.387891822456,5.023423753316422,5.5708696069207235,7.370038051250617
全倾转无人机总体装配模型,全倾转无人机总体装配模型173,1068,3.750000000000028,418.9368944918487,264.0316206739864,950.5835897961018,0.9884519687385893,-0.15066109701812933,-0.01624621008422314,418.3686401068688,259.5711196719383,946.7528536646064,424.0042839638372,265.23530463999936,954.1329541738583,5.635643856968443,5.664184968061079,7.380100509251861
全倾转无人机总体装配模型,全倾转无人机总体装配模型173,1069,3.750000000000019,405.4487712777355,178.71059977210402,921.1734482727862,0.9884519687385893,-0.15066109701812933,-0.01624621008422314,404.8805168927555,174.2500987700559,917.3427121412908,410.5161607497239,179.91428373811706,924.7228126505427,5.635643856968386,5.664184968061164,7.380100509251861
全倾转无人机总体装配模型,全倾转无人机总体装配模型173,1070,3.7500000000000235,391.9606480636223,93.38957887022164,891.7633067494706,0.9884519687385893,-0.15066109701812933,-0.01624621008422314,391.39239367864235,88.92907786817351,887.9325706179752,397.02803753561074,94.59326283623453,895.3126711272271,5.635643856968386,5.664184968061022,7.380100509251861
